Field=#~Integer~#~50|Field=Designator~String~Designator~216|Field=Comment~String~Comment~83|Field=Description~String~Description~218|Field=Footprint~String~Footprint~117|Field=Quantity~Integer~Quantity~116|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Wi-Fi Radio.PrjPcb|ReportField=ProjectFullPath~D:\Work\GitHub\Wi-Fi-Radio\Wi-Fi Radio.PrjPcb|ReportField=Title~Bill of Materials For Variant [Isolated Amp] of PCB Document [Wi-FiR.PcbDoc]|ReportField=TotalQuantity~98|ReportField=ReportTime~1:24:33 PM|ReportField=ReportDate~5/26/2020|ReportField=ReportDateTime~5/26/2020 1:24:33 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Isolated Amp|ReportField=DataSourceFileName~Wi-FiR.PcbDoc|ReportField=DataSourceFullPath~D:\Work\GitHub\Wi-Fi-Radio\Wi-Fi Radio\Wi-FiR.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|C1, C15|0.1uF|CAP CER 0.1uF 0805 50V X7R|CAP 0805|2
2|C2, C32, C33|0.01uF|CAP CER 0.01uF 0603 10 nF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Chip Capacitor|CAP 0603|3
3|C3, C4, C7, C41|1uF|CAP CER 1uF 0603 16V X7R 10% SMD 125C Paper T/R|CAP 0603|4
4|C5, C18|10uF|CAP CER 10UF 0603 6.3V|CAP 0603|2
5|C6, C14, C19, C20, C21, C22, C24, C25, C26, C28, C29, C30, C31, C36, C37, C38|0.1uF|CAP CER 0.1uF 0603- SMD/SMT .1UF 25V 5% 0603|CAP 0603|16
6|C8, C9|22pF|CAP CER 22PF 0603 250V C0G/NP0|CAP 0603|2
7|C10|2p4|CAP CER 2.4pF 0402 50V C0G 0.1pF SMD 0402 125°C Paper T/R|CAP 0402|1
8|C11|3pF|CAP CER 3PF 0402 50V NP0|CAP 0402|1
9|C12, C13|6p8|CAP CER 6.8PF 0603 250V C0G/NP0|CAP 0603|2
10|C17, C23, C27|10uF|CAP TANT 10UF 1206 6.3V 10%|CAP 1206|3
11|C34, C43, C44|47nF|CAP CER 47nF 0603 25 V ±5 % Tolerance X7R SMT Multilayer Ceramic Chip Capacitor|CAP 0603|3
12|C39, C40|33pF|CAP CER 33PF 0603 250V C0G/NP0|CAP 0603|2
13|C42|10uF|CAP CER 10UF 0805 10V X5R|CAP 0805|1
